eng_rpm, eng_torque, eng_nominalTorque,
4561.639160, 719.820679, 1963.762939,
4572.587891, 722.270874, 1951.642090,
4583.235840, 726.034973, 1939.866943,
4593.579590, 728.702942, 1928.409912,
4603.599121, 733.357666, 1917.274902,
4613.353516, 738.276367, 1906.483887,
4622.909668, 739.890015, 1895.973022,
4632.318848, 738.924561, 1885.671021,
4641.656738, 735.982666, 1875.522339,
4651.003906, 728.277832, 1865.447632,
4660.381836, 717.914185, 1855.360229,
4669.850098, 706.818726, 1845.238403,
4679.480469, 690.377319, 1835.017822,
4689.255371, 672.818848, 1824.622437,
4699.145020, 654.557617, 1814.070557,
4709.079590, 640.682068, 1803.395508,
4719.079590, 626.483948, 1792.671143,
4729.025879, 612.912354, 1781.875122,
4738.833984, 607.531433, 1771.136719,
4748.520996, 602.376587, 1760.546143,
4757.990234, 598.206726, 1750.083374,
4767.166992, 600.738037, 1739.853394,
4776.073730, 604.626343, 1729.936523,
4784.705566, 608.000488, 1720.307373,
4793.064453, 612.672180, 1710.971924,
4801.208984, 616.285400, 1701.927856,
4809.173340, 617.751953, 1693.111450,
4817.042480, 618.089111, 1684.487305,
4824.863281, 612.051575, 1675.963013,
4832.652344, 609.238037, 1667.489746,
4840.566895, 598.091919, 1659.050293,
4848.540527, 585.641968, 1650.475098,
4856.624512, 573.837341, 1641.837158,
4864.847656, 559.486084, 1633.080811,
4873.204102, 542.960327, 1624.174805,
4881.596680, 528.403076, 1615.125977,
4889.942871, 519.406372, 1606.038574,
4898.207520, 513.078613, 1597.002930,
4906.383789, 508.068268, 1588.055298,
4914.398926, 502.974457, 1579.203369,
4922.181152, 505.024597, 1570.524780,
4929.778809, 506.005646, 1562.096558,
4937.125488, 507.595825, 1553.866089,
4944.175781, 513.203369, 1545.905029,
4950.981445, 521.055664, 1538.264038,
4957.730469, 522.445679, 1530.884766,
4964.431152, 516.221619, 1523.563477,
4970.989746, 514.359070, 1516.293701,
4977.512207, 514.855347, 1509.176636,
4984.145508, 506.792175, 1502.097900,
4990.872559, 493.545837, 1494.899536,
4997.648926, 483.584229, 1487.599731,
5004.519531, 474.023438, 1480.247559,
5011.553711, 460.243530, 1472.794678,
5018.701172, 443.925720, 1465.164673,
5025.753906, 432.730011, 1457.411255,
5032.673828, 434.102783, 1449.762207,
5039.553711, 428.629608, 1442.257935,
5046.295410, 425.035828, 1434.795654,
5052.880371, 424.038330, 1427.482422,
5059.189941, 425.767639, 1420.337158,
5065.223145, 435.282074, 1413.489502,
5071.192871, 437.873779, 1406.940552,
5077.026855, 433.490173, 1400.455688,
5082.654297, 437.038818, 1394.115967,
5088.156738, 441.247559, 1387.999023,
5093.657715, 439.211487, 1382.016357,
5099.222656, 432.848022, 1376.034058,
5104.915527, 422.439087, 1369.981689,
5110.647949, 410.175140, 1363.789429,
5116.388672, 406.084229, 1357.555664,
5122.300293, 395.372192, 1351.313599,
5128.290527, 380.491882, 1344.886108,
5134.229492, 372.821716, 1338.374146,
5140.143066, 370.053162, 1331.918457,
5146.057617, 361.785583, 1325.491211,
5151.850098, 357.525208, 1319.061523,
5157.447754, 357.765381, 1312.763428,
5162.820801, 363.331360, 1306.677124,
5168.022949, 366.475586, 1300.834229,
5173.089844, 369.675537, 1295.174805,
5178.066895, 368.679474, 1289.659912,
5182.909180, 369.241577, 1284.241089,
5187.635254, 370.528809, 1278.965820,
5192.257324, 371.979004, 1273.816895,
5196.924805, 371.426575, 1268.780884,
5201.758789, 360.187805, 1263.694336,
5206.629883, 348.007813, 1258.426025,
5211.487305, 344.938477, 1253.118286,
5216.471191, 337.356689, 1247.827759,
5122.196777, 325.260071, 1242.307739,
5105.079590, 5418.853516, 1345.062988,
5085.966309, 1565.472412, 1363.801147,
5064.148926, 1687.102783, 1384.714722,
5039.804688, 1847.069092, 1408.565186,
5014.251465, 2000.290527, 1435.144043,
4989.621094, 2087.835938, 1463.001953,
4967.803711, 2066.567627, 1489.810791,
4949.613281, 1947.076904, 1513.516968,
4934.814453, 1783.062012, 1533.247559,
4922.583984, 1627.684814, 1549.273682,
4911.893066, 1511.357300, 1562.499878,
4901.688965, 1445.408203, 1574.051636,
4890.942383, 1432.215088, 1585.078857,
4878.687988, 1471.547363, 1596.701050,
4864.128906, 1561.088013, 1609.965576,
4846.898926, 1693.115356, 1625.732178,
4827.433105, 1846.188110, 1644.390747,
4807.146973, 1979.308838, 1665.457275,
4787.994629, 2041.603027, 1687.386963,
4771.536133, 2003.974976, 1708.054688,
4758.364258, 1885.009644, 1725.775146,
4748.200195, 1733.087158, 1739.918091,
4740.284180, 1592.347656, 1750.796265,
4733.687500, 1487.848633, 1759.243164,
4727.446777, 1428.976807, 1766.271362,
4720.614746, 1418.422607, 1772.928955,
4712.289063, 1456.334717, 1780.243286,
4701.695801, 1541.293701, 1789.190674,
4688.400391, 1667.627686, 1800.606201,
4672.627930, 1818.492065, 1814.952881,
4655.513672, 1960.267700, 1831.976318,
4638.845703, 2045.951904, 1850.438721,
4624.303223, 2040.652588, 1868.397827,
4612.776855, 1948.563232, 1884.040039,
4604.268555, 1808.688721, 1896.410645,
4598.208008, 1665.794312, 1905.517822,
4593.760742, 1549.379150, 1911.986938,
4590.022461, 1473.498169, 1916.726196,
4586.084473, 1442.594482, 1920.715820,
4581.057129, 1457.820557, 1924.940918,
4574.122559, 1519.038818, 1930.362061,
4564.646484, 1623.415527, 1937.860596,
4552.433594, 1762.314453, 1948.116089,
4538.033203, 1913.656372, 1961.330688,
4522.825195, 2039.246094, 1976.900146,
4508.607422, 2095.689697, 1993.324341,
4496.826172, 2060.273438, 2008.657715,
4488.094238, 1949.477051, 2021.343262,
4482.247070, 1804.833984, 2030.728638,
4478.652832, 1665.744141, 2036.999512,
4476.486328, 1556.348633, 2040.845215,
4474.871582, 1487.229736, 2043.161499,
4472.933105, 1461.884521, 2044.897339,
4469.823730, 1480.937500, 2046.995972,
4464.769531, 1543.989868, 2050.371582,
4457.180664, 1648.008911, 2055.856445,
4446.905273, 1784.266968, 2064.080811,
4434.483887, 1930.751465, 2075.200439,
4421.246582, 2051.889893, 2088.621582,
4408.917480, 2106.404785, 2102.901367,
4398.915527, 2072.908691, 2116.178223,
4391.879883, 1965.454834, 2126.926025,
4387.710938, 1822.934082, 2134.464111,
4385.827637, 1682.726074, 2138.909424,
4385.450195, 1569.668457, 2140.895020,
4385.736328, 1494.500854, 2141.266113,
4385.844238, 1461.254150, 2140.933105,
4384.956055, 1470.675659, 2140.804199,
4382.299316, 1522.497559, 2141.761719,
4377.257324, 1614.906494, 2144.633789,
4373.938965, 1740.963013, 2150.082520,
4384.241699, 1373.563721, 2153.663818,
4393.687500, 840.243530, 2142.532959,
4398.721680, 1103.717651, 2132.321045,
4404.875488, 1203.827881, 2126.862793,
4411.985352, 1098.258545, 2120.191895,
4418.378906, 1090.940186, 2112.488281,
4424.716797, 1126.651367, 2105.559082,
4431.795410, 1104.937988, 2098.697998,
4439.330078, 1059.005859, 2091.047607,
4447.144043, 1042.760254, 2082.917480,
4455.333984, 1011.777466, 2074.498047,
4463.419434, 992.070313, 2065.684082,
4471.416992, 990.856689, 2056.991455,
4479.151855, 979.118896, 2048.398438,
4486.294922, 993.448853, 2040.090820,
4492.961426, 1009.296265, 2032.420288,
4499.125977, 1026.496216, 2025.260498,
4504.998535, 1042.056396, 2018.637207,
4510.892090, 1047.750000, 2012.324707,
4516.841797, 1035.960205, 2005.986572,
4522.842773, 1038.287354, 1999.587646,
4529.362305, 1021.392273, 1993.138428,
4536.277832, 989.484253, 1986.135498,
4543.437012, 969.223999, 1978.712769,
4550.925293, 949.229187, 1971.035034,
4558.550293, 919.400024, 1963.008423,
4565.886230, 914.403259, 1954.836670,
4572.901855, 918.060181, 1946.978516,
4579.465332, 925.516357, 1939.461914,
4585.594727, 940.678467, 1932.428711,
4591.285645, 952.712036, 1925.854736,
4596.660645, 969.613586, 1919.745972,
4602.028320, 974.624329, 1913.969482,
4607.532227, 968.308289, 1908.194336,
4613.271484, 957.701660, 1902.268311,
4619.320801, 940.599976, 1896.089111,
4625.770996, 920.173218, 1889.577271,
4632.675293, 891.522400, 1882.636108,
4639.687988, 862.938232, 1875.207764,
4646.708008, 856.057861, 1867.664063,
4653.462402, 840.792236, 1860.112427,
4659.778809, 859.747437, 1852.845337,
4665.825684, 857.971680, 1846.046143,
4671.178223, 875.866577, 1839.530273,
4676.270508, 902.192322, 1833.756470,
4681.433105, 897.264160, 1828.254517,
4686.437988, 893.901062, 1822.668823,
4691.591797, 901.212646, 1817.248901,
4697.152344, 878.013306, 1811.666870,
4702.961426, 862.954712, 1805.646729,
4709.327637, 837.370239, 1799.362549,
4715.840332, 804.467468, 1792.479980,
4722.208496, 800.002441, 1785.442383,
4728.656738, 795.252441, 1778.564941,
4734.911133, 779.137878, 1771.599976,
4740.510254, 790.055725, 1764.842041,
4745.624023, 818.727966, 1758.789429,
4750.561035, 826.196960, 1753.256226,
4755.317871, 830.666260, 1747.907471,
4759.955078, 835.412964, 1742.747070,
4764.718262, 835.985596, 1737.713501,
4769.792969, 823.155273, 1732.543335,
4775.171875, 803.578247, 1727.038940,
4780.876465, 784.715332, 1721.210327,
4786.926758, 763.786377, 1715.035400,
4793.088867, 734.537659, 1708.491089,
4798.961426, 735.437927, 1701.829590,
4804.741699, 737.438538, 1695.484741,
4810.072754, 732.060303, 1689.238770,
4814.910156, 759.330872, 1683.477417,
4819.627441, 763.369446, 1678.246216,
4823.941895, 771.257080, 1673.138794,
4828.252441, 785.517456, 1668.462891,
4832.742188, 774.049805, 1663.788208,
4837.348633, 767.622009, 1658.919434,
4842.290527, 755.622131, 1653.927979,
4847.659668, 732.874023, 1648.576416,
4853.283203, 705.123413, 1642.767456,
4858.981934, 693.318604, 1636.687744,
4864.505859, 678.765320, 1630.530396,
4869.776367, 691.636719, 1624.564941,
4874.847168, 683.898193, 1618.873413,
4879.253906, 700.280334, 1613.394165,
4883.474609, 725.168945, 1608.631592,
